"Name","StudentID","Projects","Roles"
"stu1_1, stu1_2, stu1_3","e724433, e463818, e424851","b | d | a | c","backend | frontend"
"stu2_1","e293626","a | d | c | b","backend | frontend"
"stu3_1, stu3_2","e502857, e683421","c | b | a | d","backend | frontend"
"stu4_1, stu4_2, stu4_3, stu4_4","e713996, e502312, e654825, e549434","d | a | c | b","backend | frontend"
"stu5_1, stu5_2","e682945, e930020","d | c | a | b","backend | frontend"
"stu6_1, stu6_2, stu6_3","e673733, e408686, e655438","b | c | d | a","frontend | backend"
"stu7_1, stu7_2, stu7_3","e565493, e492230, e108565","b | a | d | c","backend | frontend"
"stu8_1, stu8_2","e646099, e490232","d | b | a | c","backend | frontend"
"stu9_1, stu9_2, stu9_3, stu9_4","e955947, e987965, e994428, e255286","b | d | a | c","backend | frontend"
"stu10_1, stu10_2, stu10_3","e738129, e733067, e217065","b | c | d | a","frontend | backend"
"stu11_1, stu11_2","e967637, e247175","b | c | d | a","frontend | backend"
"stu12_1, stu12_2, stu12_3","e769574, e900718, e516409","b | d | a | c","backend | frontend"
"stu13_1, stu13_2","e403429, e517610","d | b | c | a","backend | frontend"
"stu14_1, stu14_2, stu14_3","e445049, e684134, e183503","a | c | b | d","backend | frontend"
"stu15_1, stu15_2, stu15_3, stu15_4","e137543, e330360, e446570, e575330","a | b | d | c","backend | frontend"
"stu16_1, stu16_2, stu16_3","e669270, e584653, e398860","b | c | a | d","frontend | backend"
"stu17_1, stu17_2, stu17_3, stu17_4","e833855, e699843, e922268, e963220","d | c | a | b","frontend | backend"
"stu18_1, stu18_2","e638823, e183068","a | d | c | b","frontend | backend"
"stu19_1, stu19_2, stu19_3, stu19_4","e734007, e515257, e756672, e681372","a | c | b | d","frontend | backend"
"stu20_1, stu20_2, stu20_3","e797880, e305593, e507960","c | b | d | a","backend | frontend"
