"student_id","project_team","subteam"
"student_48","Airline delay_team1","Modeling team"
"student_54","Airline delay_team1","Modeling team"
"student_53","Airline delay_team1","Front-end team"
"student_32","Airline delay_team1","Front-end team"
"student_67","Airline delay_team2","Modeling team"
"student_24","Airline delay_team2","Front-end team"
"student_14","Customer analytics_team1","Modeling team"
"student_66","Customer analytics_team1","Modeling team"
"student_59","Customer analytics_team1","Modeling team"
"student_51","Customer analytics_team1","Modeling team"
"student_12","Customer analytics_team1","Front-end team"
"student_11","Customer analytics_team1","Front-end team"
"student_8","Customer analytics_team1","Front-end team"
"student_57","Customer analytics_team1","Front-end team"
"student_41","Customer analytics_team2","Modeling team"
"student_45","Customer analytics_team2","Modeling team"
"student_48","Customer analytics_team2","Front-end team"
"student_54","Customer analytics_team2","Front-end team"
"student_34","FIFA video highlights_team1","Modeling team"
"student_60","FIFA video highlights_team1","Modeling team"
"student_62","FIFA video highlights_team1","Modeling team"
"student_56","FIFA video highlights_team1","Modeling team"
"student_46","FIFA video highlights_team1","Front-end team"
"student_38","FIFA video highlights_team1","Front-end team"
"student_25","FIFA video highlights_team1","Front-end team"
"student_22","FIFA video highlights_team1","Front-end team"
"student_2","FIFA video highlights_team2","Modeling team"
"student_1","FIFA video highlights_team2","Modeling team"
"student_3","FIFA video highlights_team2","Modeling team"
"student_4","FIFA video highlights_team2","Modeling team"
"student_9","FIFA video highlights_team2","Front-end team"
"student_30","FIFA video highlights_team2","Front-end team"
"student_39","FIFA video highlights_team2","Front-end team"
"student_26","FIFA video highlights_team2","Front-end team"
"student_28","Heavy traffic_team1","Modeling team"
"student_17","Heavy traffic_team1","Front-end team"
"student_27","Heavy traffic_team2","Modeling team"
"student_36","Heavy traffic_team2","Front-end team"
"student_8","Storm cell tracking_team1","Modeling team"
"student_11","Storm cell tracking_team1","Modeling team"
"student_12","Storm cell tracking_team1","Modeling team"
"student_7","Storm cell tracking_team1","Modeling team"
"student_35","Storm cell tracking_team1","Front-end team"
"student_40","Storm cell tracking_team1","Front-end team"
"student_31","Storm cell tracking_team1","Front-end team"
"student_29","Storm cell tracking_team1","Front-end team"
"student_20","Storm cell tracking_team2","Modeling team"
"student_61","Storm cell tracking_team2","Modeling team"
"student_52","Storm cell tracking_team2","Modeling team"
"student_15","Storm cell tracking_team2","Modeling team"
"student_61","Storm cell tracking_team2","Front-end team"
"student_52","Storm cell tracking_team2","Front-end team"
"student_18","Storm cell tracking_team2","Front-end team"
"student_15","Storm cell tracking_team2","Front-end team"
