"student_id","project_team","subteam","Project.group","Sub.group"
"student_48","Airline delay_team3","Modeling team","01-air","m"
"student_54","Airline delay_team3","Modeling team","01-air","m"
"student_36","Airline delay_team3","Modeling team","02-air","m"
"student_15","Airline delay_team3","Modeling team","04-cust","m"
"student_2","Airline delay_team3","Front-end team",NA,NA
"student_1","Airline delay_team3","Front-end team",NA,NA
"student_3","Airline delay_team3","Front-end team",NA,NA
"student_4","Airline delay_team3","Front-end team",NA,NA
"student_28","Customer analytics_team2","Modeling team","08-traffic","f"
"student_27","Customer analytics_team2","Modeling team","08-traffic","f"
"student_48","Customer analytics_team2","Modeling team","01-air","m"
"student_54","Customer analytics_team2","Modeling team","01-air","m"
"student_14","Customer analytics_team2","Front-end team","04-cust","m"
"student_66","Customer analytics_team2","Front-end team","04-cust","m"
"student_59","Customer analytics_team2","Front-end team","04-cust","m"
"student_57","Customer analytics_team2","Front-end team","07-storm","m"
"student_41","Customer analytics_team3","Modeling team","04-cust","f"
"student_45","Customer analytics_team3","Modeling team","04-cust","f"
"student_29","Customer analytics_team3","Modeling team","02-air","f"
"student_51","Customer analytics_team3","Modeling team","08-traffic","f"
"student_46","Customer analytics_team3","Front-end team","06-fifa","m"
"student_38","Customer analytics_team3","Front-end team","06-fifa","m"
"student_25","Customer analytics_team3","Front-end team","06-fifa","m"
"student_22","Customer analytics_team3","Front-end team","06-fifa","m"
"student_9","FIFA video highlights_team3","Modeling team","05-cust","m"
"student_30","FIFA video highlights_team3","Modeling team","05-cust","m"
"student_39","FIFA video highlights_team3","Modeling team","05-cust","m"
"student_26","FIFA video highlights_team3","Modeling team","05-cust","m"
"student_67","FIFA video highlights_team3","Front-end team",NA,NA
"student_61","FIFA video highlights_team3","Front-end team","02-air","m"
"student_52","FIFA video highlights_team3","Front-end team","02-air","m"
"student_18","FIFA video highlights_team3","Front-end team",NA,NA
"student_17","Heavy traffic_team1","Modeling team","07-storm","m"
"student_12","Heavy traffic_team1","Modeling team","03-cust","m"
"student_11","Heavy traffic_team1","Modeling team","03-cust","m"
"student_8","Heavy traffic_team1","Modeling team","03-cust","m"
"student_35","Heavy traffic_team1","Front-end team","03-cust","f"
"student_40","Heavy traffic_team1","Front-end team","03-cust","f"
"student_31","Heavy traffic_team1","Front-end team","03-cust","f"
"student_34","Storm cell tracking_team2","Modeling team","06-fifa","f"
"student_60","Storm cell tracking_team2","Modeling team","06-fifa","f"
"student_62","Storm cell tracking_team2","Modeling team","06-fifa","f"
"student_56","Storm cell tracking_team2","Modeling team","06-fifa","f"
"student_53","Storm cell tracking_team2","Front-end team","01-air","m"
"student_32","Storm cell tracking_team2","Front-end team","01-air","m"
"student_15","Storm cell tracking_team2","Front-end team","04-cust","m"
"student_24","Storm cell tracking_team3","Modeling team","08-traffic","m"
"student_20","Storm cell tracking_team3","Modeling team","02-air","m"
"student_61","Storm cell tracking_team3","Modeling team","02-air","m"
"student_52","Storm cell tracking_team3","Modeling team","02-air","m"
"student_8","Storm cell tracking_team3","Front-end team","03-cust","m"
"student_11","Storm cell tracking_team3","Front-end team","03-cust","m"
"student_12","Storm cell tracking_team3","Front-end team","03-cust","m"
"student_7","Storm cell tracking_team3","Front-end team","03-cust","m"
